idx,nsu_argo,valor_argo,nsu_netunna,valor_netunna,decisao,observacao,nsu_selecionado,data_validacao
353,000500090,269.75,988388615,269.75,Justificar como correta,,,2025-05-04 19:28:50
354,000500176,340.9,988521679,340.9,Justificar como correta,,,2025-05-04 19:28:56
