Bradesco1_30042025_152800.OFX,24/01/2023,OPERACAO CAPITAL GIRO CONTR 015930951 PARC 003/036,-1000.07,3510024
Bradesco1_30042025_152800.OFX,24/01/2023,OPERACAO CAPITAL GIRO CONTR 015474855 PARC 008/048,-1022.84,9990024
Bradesco1_30042025_152800.OFX,25/01/2023,OPERACAO CAPITAL GIRO CONTR 015757219 PARC 006/036,-1996.34,3510025
Bradesco1_30042025_152800.OFX,16/02/2023,OPERACAO CAPITAL GIRO CONTR 015512356 PARC 011/024,-956.20,3510047
Bradesco1_30042025_152800.OFX,16/02/2023,OPERACAO CAPITAL GIRO CONTR 015644762 PARC 006/069,-606.98,9990047
Bradesco1_30042025_152800.OFX,24/02/2023,OPERACAO CAPITAL GIRO CONTR 015930951 PARC 004/036,-1000.07,3510055
Bradesco1_30042025_152800.OFX,24/02/2023,OPERACAO CAPITAL GIRO CONTR 015474855 PARC 009/048,-1022.84,9990055
Bradesco1_30042025_152800.OFX,27/02/2023,OPERACAO CAPITAL GIRO CONTR 015757219 PARC 007/036,-1996.34,3510058
Bradesco1_30042025_152800.OFX,16/03/2023,OPERACAO CAPITAL GIRO CONTR 015512356 PARC 012/024,-956.20,3510075
Bradesco1_30042025_152800.OFX,16/03/2023,OPERACAO CAPITAL GIRO CONTR 015644762 PARC 007/069,-606.98,9990075
Bradesco1_30042025_152800.OFX,24/03/2023,OPERACAO CAPITAL GIRO CONTR 015930951 PARC 005/036,-1000.07,3510083
Bradesco1_30042025_152800.OFX,24/03/2023,OPERACAO CAPITAL GIRO CONTR 015474855 PARC 010/048,-1022.84,9990083
Bradesco1_30042025_152800.OFX,27/03/2023,OPERACAO CAPITAL GIRO CONTR 015757219 PARC 008/036,-1996.34,3510086
Bradesco1_30042025_152800.OFX,17/04/2023,OPERACAO CAPITAL GIRO CONTR 015512356 PARC 013/024,-956.20,3510107
Bradesco1_30042025_152800.OFX,17/04/2023,OPERACAO CAPITAL GIRO CONTR 015644762 PARC 008/069,-606.98,9990107
Bradesco1_30042025_152800.OFX,24/04/2023,OPERACAO CAPITAL GIRO CONTR 015930951 PARC 006/036,-1000.07,3510114
Bradesco1_30042025_152800.OFX,24/04/2023,OPERACAO CAPITAL GIRO CONTR 015474855 PARC 011/048,-1022.84,9990114
Bradesco1_30042025_152800.OFX,25/04/2023,OPERACAO CAPITAL GIRO CONTR 015757219 PARC 009/036,-1996.34,3510115
Bradesco1_30042025_152800.OFX,16/05/2023,OPERACAO CAPITAL GIRO CONTR 015512356 PARC 014/024,-956.20,3510136
Bradesco1_30042025_152800.OFX,16/05/2023,OPERACAO CAPITAL GIRO CONTR 015644762 PARC 009/069,-606.98,9990136
Bradesco_30042025_150643.ofx,20/03/2024,Parc Cred Pess Contr 495067007 Parc 001/060,-1885.09,3480080
Bradesco_30042025_150643.ofx,22/04/2024,Parc Cred Pess Contr 495067007 Parc 002/060,-1885.09,3480113
Bradesco_30042025_150643.ofx,20/05/2024,Parc Cred Pess Contr 495067007 Parc 003/060,-1885.09,3480141
Bradesco_30042025_150643.ofx,20/06/2024,Parc Cred Pess Contr 495067007 Parc 004/060,-1885.09,3480172
Bradesco_30042025_150643.ofx,22/07/2024,Parc Cred Pess Contr 495067007 Parc 005/060,-1885.09,3480204
Bradesco_30042025_150643.ofx,20/08/2024,Parc Cred Pess Contr 495067007 Parc 006/060,-1885.09,3480233
Bradesco_30042025_150643.ofx,20/09/2024,Parc Cred Pess Contr 495067007 Parc 007/060,-1885.09,3480264
Bradesco_30042025_150643.ofx,21/10/2024,Parc Cred Pess Contr 495067007 Parc 008/060,-1885.09,3480295
Bradesco_30042025_150643.ofx,21/11/2024,Parc Cred Pess Contr 495067007 Parc 009/060,-1885.09,3480326
Bradesco_30042025_150643.ofx,20/12/2024,Parc Cred Pess Contr 495067007 Parc 010/060,-1885.09,3480355
Bradesco_30042025_150643.ofx,20/01/2025,Parc Cred Pess Contr 495067007 Parc 011/060,-1885.09,3480020
Bradesco_30042025_150643.ofx,20/02/2025,Parc Cred Pess Contr 495067007 Parc 012/060,-1885.09,3480051
Bradesco_30042025_150643.ofx,20/03/2025,Parc Cred Pess Contr 495067007 Parc 013/060,-935.12,3480079
Bradesco_30042025_150643.ofx,20/03/2024,Parc Cred Pess Contr 495067007 Parc 001/060,-1885.09,3480080
Bradesco_30042025_150643.ofx,22/04/2024,Parc Cred Pess Contr 495067007 Parc 002/060,-1885.09,3480113
Bradesco_30042025_150643.ofx,20/05/2024,Parc Cred Pess Contr 495067007 Parc 003/060,-1885.09,3480141
Bradesco_30042025_150643.ofx,20/06/2024,Parc Cred Pess Contr 495067007 Parc 004/060,-1885.09,3480172
