data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-03-01,False,0,754,0.0,66975.18
2025-03-02,False,0,534,0.0,37543.23
2025-03-03,False,0,545,0.0,40453.29
2025-03-04,False,0,565,0.0,37273.98
2025-03-05,False,0,721,0.0,61408.810000000005
2025-03-06,False,0,863,0.0,78153.61
2025-03-07,False,0,992,0.0,89449.92
2025-03-08,False,0,865,0.0,73425.78
2025-03-09,False,0,657,0.0,53211.98
2025-03-10,False,0,808,0.0,71234.56
2025-03-11,False,0,820,0.0,75299.17
2025-03-12,False,0,853,0.0,78342.29000000001
2025-03-13,False,0,913,0.0,85332.36
2025-03-14,False,0,970,0.0,85539.86
2025-03-15,False,0,996,0.0,85464.4
2025-03-16,False,0,884,0.0,70379.2
2025-03-17,False,0,995,0.0,95562.49
2025-03-18,False,0,652,0.0,47871.22
2025-03-19,False,0,562,0.0,41885.61
2025-03-20,False,0,573,0.0,41201.13
2025-03-21,False,0,744,0.0,63613.92
2025-03-22,False,0,1037,0.0,95590.43
2025-03-23,False,0,1052,0.0,93966.91
2025-03-24,False,0,1019,0.0,98203.86
2025-03-25,False,0,1121,0.0,104884.32
2025-03-26,False,0,1198,0.0,120179.44
2025-03-27,False,0,817,0.0,64834.34
2025-03-28,False,0,1109,0.0,103318.6
2025-03-29,False,0,1164,0.0,103423.5
2025-03-30,False,0,1082,0.0,90867.86000000002
2025-03-31,False,0,1162,0.0,116676.05
2025-04-01,False,0,1323,0.0,138212.53
2025-04-02,False,0,1283,0.0,137273.66000000003
2025-04-03,False,0,1332,0.0,140821.35
2025-04-04,False,0,1369,0.0,149487.59999999998
2025-04-05,False,0,1167,0.0,116775.82
2025-04-06,False,0,1036,0.0,83455.09
2025-04-07,False,0,1034,0.0,98213.65
2025-04-08,False,0,1082,0.0,108735.57
2025-04-09,False,0,1098,0.0,103992.32
2025-04-10,False,0,1093,0.0,105377.21
2025-04-11,False,0,1254,0.0,128062.19999999998
2025-04-12,False,0,1202,0.0,108955.4
2025-04-13,False,0,909,0.0,77488.97
2025-04-14,False,0,1141,0.0,108228.97
2025-04-15,False,0,1139,0.0,105884.68
2025-04-16,False,0,1184,0.0,120133.37
2025-04-17,False,0,1330,0.0,146492.38
2025-04-18,False,0,887,0.0,81350.16
2025-04-19,False,0,790,0.0,62675.09
2025-04-20,False,0,702,0.0,53236.63
2025-04-21,False,0,730,0.0,57535.82
2025-04-22,False,0,1008,0.0,86665.13
2025-04-23,False,0,1054,0.0,94411.83
2025-04-24,False,0,1001,0.0,93605.1
2025-04-25,False,0,1051,0.0,97221.17
2025-04-26,False,0,33,0.0,533.1
