data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-03-01,False,1,727,50.0,58976.880000000005
2025-03-02,False,0,321,0.0,28743.92
2025-03-03,False,2,312,73.97,41942.33
2025-03-04,False,0,288,0.0,39310.67
2025-03-05,False,0,344,0.0,77604.23
2025-03-06,False,0,350,0.0,66322.0
2025-03-07,False,0,427,0.0,66699.35
2025-03-08,False,0,440,0.0,67726.4
2025-03-09,False,0,389,0.0,60625.62999999999
2025-03-10,False,0,358,0.0,54654.52
2025-03-11,False,0,348,0.0,59687.119999999995
2025-03-12,False,0,322,0.0,73421.37
2025-03-13,False,0,302,0.0,47888.15
2025-03-14,False,0,321,0.0,39951.27
2025-03-15,False,0,358,0.0,58425.36
2025-03-16,False,0,336,0.0,46551.3
2025-03-17,False,1,373,7.99,94718.86
2025-03-18,False,0,301,0.0,86704.66999999998
2025-03-19,False,0,295,0.0,85156.54000000001
2025-03-20,False,1,323,25.72,63495.119999999995
2025-03-21,False,1,406,293.4,81956.28
2025-03-22,False,1,308,11.98,45750.58
2025-03-23,False,0,344,0.0,45267.26999999999
2025-03-24,False,0,288,0.0,58317.95
2025-03-25,False,1,268,13.84,75421.37
2025-03-26,False,1,300,44.93,86850.38
2025-03-27,False,1,303,204.98,73247.1
2025-03-28,False,0,355,0.0,67296.11
2025-03-29,False,0,273,0.0,50949.19
2025-03-30,False,1,258,351.44,49866.46
2025-03-31,False,1,270,172.19,71258.81999999999
2025-04-01,False,1,295,182.95,66424.20000000001
2025-04-02,False,0,294,0.0,82884.14
2025-04-03,False,1,290,3895.64,74188.4
2025-04-04,False,1,355,50.0,83776.67
2025-04-05,False,0,300,0.0,57725.89000000001
2025-04-06,False,2,274,100.0,47777.62
2025-04-07,False,0,286,0.0,99063.13999999998
2025-04-08,False,0,245,0.0,57632.2
2025-04-09,False,0,271,0.0,73027.29000000001
2025-04-10,False,0,248,0.0,58988.92
2025-04-11,False,1,374,54.92,67131.43
2025-04-12,False,0,381,0.0,73053.51
2025-04-13,False,3,268,262.17,50215.28
2025-04-14,False,1,289,300.13,64756.28
2025-04-15,False,1,296,253.08,81555.87
2025-04-16,False,0,321,0.0,83027.51999999999
2025-04-17,False,1,597,28.97,81644.61
2025-04-18,False,1,791,11.98,69044.15000000001
2025-04-19,False,0,263,0.0,31806.24
2025-04-20,False,0,331,0.0,39321.71
2025-04-21,False,0,612,0.0,74102.41
2025-04-22,False,1,287,26.98,62129.28
2025-04-23,False,0,306,0.0,88777.61
2025-04-24,False,0,265,0.0,59527.6
2025-04-25,False,1,301,358.14,43718.86
2025-04-26,False,0,51,0.0,16841.44
2025-04-27,False,0,2,0.0,133.54
