data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-03-01,False,0.0,411.0,0.0,94425.86
2025-03-02,False,0.0,450.0,0.0,97518.58
2025-03-03,False,0.0,445.0,0.0,90044.32
2025-03-04,False,0.0,664.0,0.0,135509.64
2025-03-05,False,0.0,564.0,0.0,128353.19
2025-03-06,False,0.0,305.0,0.0,88310.5
2025-03-07,False,0.0,322.0,0.0,92615.75
2025-03-08,False,0.0,407.0,0.0,81694.37
2025-03-09,False,0.0,464.0,0.0,120503.98
2025-03-10,False,0.0,381.0,0.0,119852.59
2025-03-11,False,0.0,285.0,0.0,118045.84
2025-03-12,False,0.0,325.0,0.0,134360.02999999997
2025-03-13,False,0.0,313.0,0.0,128711.91999999998
2025-03-14,False,0.0,375.0,0.0,114306.63
2025-03-15,False,0.0,340.0,0.0,94161.96
2025-03-16,False,0.0,435.0,0.0,111774.7
2025-03-17,False,2.0,351.0,355.92,118094.1
2025-03-18,False,0.0,299.0,0.0,97267.63
2025-03-19,False,1.0,351.0,221.42,145267.43
2025-03-20,False,2.0,363.0,516.22,140974.99
2025-03-21,False,0.0,407.0,0.0,140417.34
2025-03-22,False,1.0,357.0,197.86,111845.44
2025-03-23,False,3.0,432.0,400.0,127772.26
2025-03-24,False,0.0,7.0,0.0,2806.1800000000003
2025-03-25,False,0.0,3.0,0.0,1242.89
2025-03-26,False,0.0,3.0,0.0,759.24
2025-03-27,False,0.0,6.0,0.0,2685.4
2025-03-28,False,0.0,10.0,0.0,3089.45
2025-03-29,False,0.0,2.0,0.0,547.08
2025-03-30,False,0.0,2.0,0.0,295.85
2025-03-31,False,0.0,7.0,0.0,3370.9800000000005
2025-04-01,False,0.0,308.0,0.0,102453.46
2025-04-02,False,4.0,279.0,184.93,119536.97
2025-04-03,False,0.0,328.0,0.0,118077.84
2025-04-04,False,5.0,330.0,8755.55,103069.95
2025-04-05,False,0.0,277.0,0.0,79080.95
2025-04-06,False,10.0,299.0,1470.64,68093.34
2025-04-07,False,4.0,318.0,713.44,126798.66
2025-04-08,False,3.0,260.0,86.53,104652.7
2025-04-09,False,4.0,313.0,43.96,131771.77
2025-04-10,False,11.0,317.0,2433.3299999999995,132165.27
2025-04-11,False,7.0,340.0,4265.4,116110.55
2025-04-12,False,0.0,297.0,0.0,88403.78
2025-04-13,False,9.0,278.0,732.8,100527.53
2025-04-14,False,5.0,304.0,1496.45,91623.45
2025-04-15,False,14.0,265.0,21124.23,97465.13999999998
2025-04-16,False,7.0,365.0,151.57,135952.65
2025-04-17,False,9.0,412.0,15725.06,82223.01
2025-04-18,False,7.0,512.0,755.28,82317.12999999999
2025-04-19,False,14.0,425.0,16371.68,121873.08
2025-04-20,False,8.0,425.0,2573.76,51919.19
2025-04-21,False,21.0,928.0,2276.73,178046.93
2025-04-22,False,13.0,435.0,1751.7199999999998,113291.34
2025-04-23,False,10.0,320.0,121.05,127983.45
2025-04-24,False,3.0,53.0,194.94,16058.86
2025-04-25,False,0.0,14.0,0.0,3053.7
2025-04-26,False,0.0,5.0,0.0,1140.27
2025-04-27,False,0.0,2.0,0.0,1100.65
