data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-02-27,False,0,15,0.0,945.6400000000002
2025-02-28,False,0,15,0.0,513.66
2025-03-01,False,25,1208,2233.66,91171.54
2025-03-02,False,16,423,842.67,57633.23
2025-03-03,False,16,390,2236.13,73712.32
2025-03-04,False,0,361,0.0,67953.26999999999
2025-03-05,False,15,349,2395.3999999999996,74565.53
2025-03-06,False,14,334,1617.84,67011.12
2025-03-07,False,10,487,459.86999999999995,103470.85
2025-03-08,False,24,345,1952.1,50403.56
2025-03-09,False,6,306,518.46,47153.649999999994
2025-03-10,False,14,348,1055.0600000000002,84100.97
2025-03-11,False,14,312,3225.1499999999996,90377.58
2025-03-12,False,15,323,493.52,83188.39
2025-03-13,False,15,323,3864.86,67004.03
2025-03-14,False,15,394,4704.8,82606.19
2025-03-15,False,14,349,2495.56,104122.7
2025-03-16,False,15,332,689.4000000000001,57255.27
2025-03-17,False,15,314,5652.4800000000005,63184.240000000005
2025-03-18,False,15,302,763.95,74946.34999999999
2025-03-19,False,14,347,5444.03,107401.71
2025-03-20,False,15,326,1903.28,71275.83
2025-03-21,False,13,438,5863.699999999999,90273.81
2025-03-22,False,20,371,4001.98,93217.97
2025-03-23,False,10,377,967.36,65121.52
2025-03-24,False,15,324,1094.45,65702.93
2025-03-25,False,13,323,1896.19,104671.69999999998
2025-03-26,False,15,316,1648.8100000000002,100058.29
2025-03-27,False,15,318,2526.04,78554.83
2025-03-28,False,15,406,3620.01,83061.82999999999
2025-03-29,False,14,340,2167.5000000000005,79425.75
2025-03-30,False,0,341,0.0,74834.26
2025-03-31,False,339,693,63537.31,124758.88
2025-04-01,False,291,570,63821.71,155144.37
2025-04-02,False,232,596,49433.55,165025.03999999998
2025-04-03,False,299,612,57505.66,164781.03999999998
2025-04-04,False,358,871,48566.19,139756.25
2025-04-05,False,292,596,42304.84,110972.38
2025-04-06,False,172,712,31384.26,95850.95
2025-04-07,False,264,673,36680.98,141118.42
2025-04-08,False,265,538,54907.7,123653.39
2025-04-09,False,268,627,70182.32999999999,158941.08000000002
2025-04-10,False,310,597,68255.84,120351.74
2025-04-11,False,357,804,48341.69,161047.96
2025-04-12,False,363,741,60493.3,134596.48
2025-04-13,False,152,745,16318.57,120795.56
2025-04-14,False,290,768,46511.08,180904.24
2025-04-15,False,336,591,59307.23000000001,145949.97999999998
2025-04-16,False,344,676,48154.36,145070.44
2025-04-17,False,537,1012,52887.65,108774.81
2025-04-18,False,592,1274,50622.64,115218.25999999998
2025-04-19,False,288,528,38417.46,64175.15
2025-04-20,False,296,849,28429.199999999997,94564.25
2025-04-21,False,250,1180,33106.71,158706.02000000002
2025-04-22,False,342,971,66487.97,172213.49
2025-04-23,False,312,634,87956.46,153238.78
2025-04-24,False,282,681,47918.96000000001,141249.59
2025-04-25,False,329,774,58244.990000000005,135591.48
2025-04-26,False,290,864,38202.76,123189.02
2025-04-27,False,59,642,7152.109999999999,77927.44
