data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-02-24,False,0.0,19.0,0.0,9228.14
2025-02-25,False,0.0,14.0,0.0,7133.200000000001
2025-02-26,False,0.0,18.0,0.0,8095.76
2025-02-27,False,0.0,867.0,0.0,121325.28
2025-02-28,False,0.0,1637.0,0.0,189518.51
2025-03-01,False,0.0,1666.0,0.0,167067.52000000002
2025-03-02,False,0.0,952.0,0.0,105508.6
2025-03-03,False,0.0,776.0,0.0,106314.37
2025-03-04,False,0.0,735.0,0.0,92871.04
2025-03-05,False,0.0,737.0,0.0,99586.26
2025-03-06,False,0.0,704.0,0.0,97072.6
2025-03-07,False,0.0,970.0,0.0,135498.86
2025-03-08,False,0.0,962.0,0.0,122154.26
2025-03-09,False,0.0,48.0,0.0,5953.890000000001
2025-03-10,False,0.0,762.0,0.0,125109.21
2025-03-11,False,0.0,636.0,0.0,103670.91
2025-03-12,False,0.0,660.0,0.0,101820.02
2025-03-13,False,0.0,713.0,0.0,109451.9
2025-03-14,False,0.0,928.0,0.0,149893.47
2025-03-15,False,0.0,847.0,0.0,118426.99
2025-03-16,False,0.0,923.0,0.0,128216.13
2025-03-17,False,0.0,778.0,0.0,147109.32
2025-03-18,False,0.0,550.0,0.0,94530.33
2025-03-19,False,0.0,630.0,0.0,113873.25
2025-03-20,False,0.0,732.0,0.0,122735.33
2025-03-21,False,0.0,997.0,0.0,160960.55
2025-03-22,False,0.0,900.0,0.0,130832.48
2025-03-23,False,0.0,1043.0,0.0,134272.02000000002
2025-03-24,False,0.0,741.0,0.0,119665.09
2025-03-25,False,0.0,654.0,0.0,117678.59
2025-03-26,False,0.0,684.0,0.0,108826.54
2025-03-27,False,0.0,775.0,0.0,125856.87
2025-03-28,False,0.0,87.0,0.0,20375.57
2025-03-29,False,0.0,877.0,0.0,123122.26
2025-03-30,False,0.0,1007.0,0.0,137451.24
2025-03-31,False,0.0,796.0,0.0,127915.29
2025-04-01,False,592.0,160.0,95045.33,75581.12
2025-04-02,False,624.0,147.0,98204.69,53139.32
2025-04-03,False,631.0,159.0,99019.52,64095.79999999999
2025-04-04,False,768.0,167.0,111766.35,60019.07
2025-04-05,False,838.0,187.0,107532.63999999998,79444.06
2025-04-06,False,867.0,165.0,109286.87,29178.82
2025-04-07,False,583.0,156.0,105329.26,39186.64
2025-04-08,False,592.0,157.0,118457.92,63574.0
2025-04-09,False,553.0,148.0,104640.53,78823.57999999999
2025-04-10,False,601.0,152.0,99132.51,86791.16
2025-04-11,False,832.0,172.0,117421.58,66734.47
2025-04-12,False,882.0,165.0,130936.03,55343.81
2025-04-13,False,818.0,138.0,95262.6,35459.020000000004
2025-04-14,False,644.0,136.0,106607.9,56589.22
2025-04-15,False,602.0,146.0,118925.84,68527.51000000001
2025-04-16,False,706.0,156.0,110264.5,80227.38
2025-04-17,False,1384.0,230.0,183961.83,67460.34999999999
2025-04-18,False,1600.0,288.0,168950.03000000003,51307.26
2025-04-19,False,808.0,155.0,98050.18,26826.63
2025-04-20,False,931.0,203.0,117693.9,53501.44
2025-04-21,False,1326.0,237.0,168248.53999999998,46316.5
2025-04-22,False,727.0,165.0,115917.3,40711.05
2025-04-23,False,583.0,174.0,96233.46,91517.44
2025-04-24,False,549.0,112.0,90738.55,54361.26999999999
2025-04-25,False,750.0,173.0,109964.8,72066.01999999999
2025-04-26,False,460.0,426.0,63039.740000000005,52005.86
2025-04-27,False,216.0,571.0,33816.36,66595.49
