data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-02-26,False,0.0,15.0,0.0,950.99
2025-02-27,False,0.0,15.0,0.0,806.26
2025-02-28,False,0.0,15.0,0.0,979.34
2025-03-01,False,16.0,552.0,2209.94,98459.72
2025-03-02,False,20.0,401.0,1451.9900000000002,54935.41
2025-03-03,False,17.0,492.0,760.81,81383.11
2025-03-04,False,7.0,768.0,635.5,93380.59
2025-03-05,False,17.0,651.0,1214.07,97545.41
2025-03-06,False,14.0,470.0,1901.57,78594.98
2025-03-07,False,16.0,537.0,1486.02,86639.24999999999
2025-03-08,False,20.0,563.0,1590.39,97215.16
2025-03-09,False,9.0,505.0,1026.53,67281.86
2025-03-10,False,15.0,459.0,1909.11,86636.29000000001
2025-03-11,False,15.0,376.0,1271.63,70596.57
2025-03-12,False,15.0,372.0,2854.9,90338.72
2025-03-13,False,14.0,389.0,1415.84,84224.28
2025-03-14,False,15.0,455.0,2536.45,90745.21
2025-03-15,False,15.0,554.0,3816.709999999999,77426.45
2025-03-16,False,15.0,535.0,3165.99,80265.65
2025-03-17,False,15.0,507.0,1626.8300000000002,85761.80000000002
2025-03-18,False,15.0,396.0,1984.39,68416.81999999999
2025-03-19,False,15.0,422.0,4542.900000000001,109966.21
2025-03-20,False,354.0,104.0,48457.8,36090.02
2025-03-21,False,511.0,67.0,74017.86,23102.55
2025-03-22,False,378.0,91.0,58129.81,21038.370000000003
2025-03-23,False,430.0,84.0,56324.740000000005,26819.66
2025-03-24,False,335.0,78.0,50134.28999999999,24789.18
2025-03-25,False,330.0,75.0,41354.76,44923.380000000005
2025-03-26,False,325.0,59.0,51821.72,39343.87
2025-03-27,False,364.0,90.0,58676.53999999999,32846.44
2025-03-28,False,460.0,80.0,56115.31,30400.71
2025-03-29,False,440.0,87.0,70479.30999999998,38604.79999999999
2025-03-30,False,422.0,69.0,48512.99,23304.62
2025-03-31,False,0.0,362.0,0.0,62402.6
2025-04-01,False,337.0,97.0,58792.80999999999,38782.67
2025-04-02,False,346.0,129.0,53840.1,69722.23
2025-04-03,False,374.0,112.0,62343.53,61718.56
2025-04-04,False,382.0,109.0,52477.25,57541.71
2025-04-05,False,396.0,132.0,48130.84,42467.87
2025-04-06,False,390.0,79.0,62960.35,21132.7
2025-04-07,False,276.0,127.0,50793.25,47874.75000000001
2025-04-08,False,296.0,99.0,55820.48999999999,45536.5
2025-04-09,False,324.0,118.0,54061.380000000005,67608.65000000001
2025-04-10,False,348.0,109.0,60287.81999999999,52116.58
2025-04-11,False,379.0,133.0,59080.08,56971.02
2025-04-12,False,408.0,87.0,52905.03,27421.86
2025-04-13,False,345.0,91.0,51000.98,38811.130000000005
2025-04-14,False,347.0,124.0,74206.07999999999,64931.76
2025-04-15,False,326.0,109.0,46377.45,36443.59
2025-04-16,False,365.0,99.0,47729.43,38749.98
2025-04-17,False,493.0,146.0,74619.34,52680.25
2025-04-18,False,676.0,125.0,70567.47,29411.279999999995
2025-04-19,False,451.0,128.0,60742.16,27263.94
2025-04-20,False,461.0,106.0,52033.77,32942.48
2025-04-21,False,772.0,191.0,95386.28,45169.83
2025-04-22,False,404.0,123.0,73734.67,48112.5
2025-04-23,False,374.0,113.0,64309.94,40158.74999999999
2025-04-24,False,350.0,119.0,67180.95999999999,53966.65
2025-04-25,False,411.0,139.0,59194.32000000001,53452.97
2025-04-26,False,371.0,126.0,62206.9,44333.48
2025-04-27,False,37.0,304.0,7397.039999999999,62089.34
