data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-02-24,False,0,15,0.0,1555.02
2025-02-25,False,0,15,0.0,829.98
2025-02-26,False,0,15,0.0,1134.35
2025-02-27,False,0,15,0.0,1162.41
2025-02-28,False,0,15,0.0,1121.39
2025-03-01,False,5,1197,476.9,118378.35
2025-03-02,False,14,583,937.77,52017.47
2025-03-03,False,14,551,945.56,53145.04
2025-03-04,False,0,631,0.0,50013.64
2025-03-05,False,15,822,411.38,86448.41
2025-03-06,False,15,935,2371.88,100882.83
2025-03-07,False,10,1102,648.91,120032.43
2025-03-08,False,14,1130,2356.25,109344.95
2025-03-09,False,1,599,200.0,63419.740000000005
2025-03-10,False,14,858,806.96,101017.34
2025-03-11,False,11,994,688.1800000000001,108611.63
2025-03-12,False,13,930,1600.04,106406.87
2025-03-13,False,12,941,543.66,107649.29
2025-03-14,False,12,955,810.41,102132.35
2025-03-15,False,13,724,1354.08,76055.81999999999
2025-03-16,False,15,617,1389.97,53282.369999999995
2025-03-17,False,15,801,2066.14,90650.43
2025-03-18,False,1,1263,200.0,121414.14
2025-03-19,False,12,903,1014.82,103108.53
2025-03-20,False,13,962,491.81000000000006,106320.91
2025-03-21,False,13,1010,761.99,110447.42
2025-03-22,False,30,783,3235.5099999999993,77891.26
2025-03-23,False,0,755,0.0,66873.8
2025-03-24,False,13,845,897.03,88233.14
2025-03-25,False,0,1349,0.0,147608.57
2025-03-26,False,0,1087,0.0,115490.92
2025-03-27,False,13,1056,793.72,116758.04
2025-03-28,False,9,1059,887.86,114214.78
2025-03-29,False,9,1240,730.15,127043.91
2025-03-30,False,15,742,365.2300000000001,74693.69
2025-03-31,False,15,960,614.1700000000001,104748.47
2025-04-01,False,11,1170,899.6200000000001,130250.82
2025-04-02,False,15,889,980.73,96931.82
2025-04-03,False,1,1449,90.0,153152.84
2025-04-04,False,14,1028,646.73,106800.34
2025-04-05,False,19,825,1336.39,95820.86
2025-04-06,False,4,700,78.96000000000001,66340.9
2025-04-07,False,5,859,480.42,97113.25
2025-04-08,False,15,891,1008.79,95332.89
2025-04-09,False,14,1200,683.5400000000001,120108.5
2025-04-10,False,5,913,246.97000000000003,103082.66
2025-04-11,False,13,1016,1356.27,113931.66
2025-04-12,False,25,879,2985.01,91284.4
2025-04-13,False,0,707,0.0,70078.68
2025-04-14,False,642,4291,71865.14000000001,388956.6999999999
2025-04-15,False,539,8311,67473.73999999999,644524.53
2025-04-16,False,415,11394,34344.380000000005,999418.49
2025-04-17,False,750,3321,105849.35,295378.13
2025-04-18,False,543,2053,58223.11,184766.05
2025-04-19,False,528,1024,50435.84,71453.48000000001
2025-04-20,False,450,1113,39200.36,86575.22
2025-04-21,False,135,1192,6993.48,98178.8
2025-04-22,False,634,5596,73164.02,388785.0
2025-04-23,False,596,5819,70578.88,520792.6999999999
2025-04-24,False,758,1842,88354.1,150742.69
2025-04-25,False,728,2172,79085.59,194438.72
2025-04-26,False,538,9278,62898.89,798514.22
2025-04-27,False,27,8092,2164.81,695046.34
2025-04-28,False,0,28,0.0,2296.3799999999997
