data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-03-01,False,0,256,0.0,44510.130000000005
2025-03-02,False,0,170,0.0,25832.160000000003
2025-03-03,False,0,246,0.0,47620.08
2025-03-04,False,0,154,0.0,27207.289999999997
2025-03-05,False,0,203,0.0,33146.9
2025-03-06,False,0,237,0.0,58400.86
2025-03-07,False,0,281,0.0,73621.38
2025-03-08,False,0,248,0.0,54858.21000000001
2025-03-09,False,0,199,0.0,35257.92999999999
2025-03-10,False,139,43,28000.03,42921.810000000005
2025-03-11,False,135,38,32032.78,9166.8
2025-03-12,False,142,44,25470.0,11615.07
2025-03-13,False,138,68,31939.86,26582.69
2025-03-14,False,139,47,26851.9,31737.33
2025-03-15,False,193,68,30150.08,31883.27
2025-03-16,False,135,19,23019.1,5277.34
2025-03-17,False,172,53,28236.93,41741.35
2025-03-18,False,147,43,48677.66,14114.749999999998
2025-03-19,False,112,76,29230.35,36711.93
2025-03-20,False,151,54,34450.73,26925.910000000003
2025-03-21,False,150,59,25436.99,25819.15
2025-03-22,False,154,35,26412.0,22477.640000000003
2025-03-23,False,148,39,18622.63,12182.079999999998
2025-03-24,False,168,48,31592.96,21551.04
2025-03-25,False,128,56,38523.53,18220.1
2025-03-26,False,153,38,46574.19,27205.370000000003
2025-03-27,False,121,38,25414.119999999995,50165.09
2025-03-28,False,157,54,27803.32,22519.970000000005
2025-03-29,False,152,41,22180.82,9344.32
2025-03-30,False,156,21,26306.25,2311.2899999999995
2025-03-31,False,114,51,27389.180000000004,30028.08
2025-04-01,False,150,43,32854.42,20254.179999999997
2025-04-02,False,112,51,27304.29,13063.02
2025-04-03,False,132,37,26204.46,11311.95
2025-04-04,False,160,51,36536.990000000005,27073.53
2025-04-05,False,163,54,22820.01,14825.64
2025-04-06,False,123,26,16105.520000000002,4114.67
2025-04-07,False,136,34,24283.75,28099.63
2025-04-08,False,119,46,22488.04,19459.18
2025-04-09,False,136,30,39999.23,11308.08
2025-04-10,False,143,34,36969.94,14825.81
2025-04-11,False,153,37,27396.23,17532.390000000003
2025-04-12,False,122,80,27899.51,15934.38
2025-04-13,False,126,88,22585.42,15883.34
2025-04-14,False,121,93,26582.050000000003,58382.23
2025-04-15,False,128,42,18888.299999999996,26328.73
2025-04-16,False,168,50,37598.7,27007.63
2025-04-17,False,225,45,41336.69,7466.589999999999
2025-04-18,False,166,46,24885.39,4778.169999999999
2025-04-19,False,178,37,34604.020000000004,17898.82
2025-04-20,False,126,22,17673.04,3103.3799999999997
2025-04-21,False,224,49,40560.75,10937.06
2025-04-22,False,147,62,46764.85,26946.29
2025-04-23,False,113,68,40422.53,27388.49
2025-04-24,False,128,57,27267.21,32442.25
2025-04-25,False,149,65,36101.12,40686.98
2025-04-26,False,7,150,984.84,34701.22
2025-04-27,False,0,103,0.0,15006.6
2025-04-28,False,0,1,0.0,200.0
